Dates	Title	Start Time	End Time	Location
12/10/2024	トップギア (Top Gear)	11:00	23:00	Stadium
12/10/2024	ウルティマⅦ (Ultima Ⅶ)	8:00	20:00	Bagpotamia Temple
12/10/2024	サテ坊のワードゲーム (Satebou's Word Game)	8:00	23:00	Calculator Shop
12/10/2024	ＢＳスーパークックド (BS SuperCooked!)	8:00	23:00	Burger Shop
12/11/2024	マリオのタイムマシン (Mario's Time Machine)	8:00	11:00	Broadcast Station
12/11/2024	ＢＳ　マリオペイント (BS Mario Paint)	11:00	14:00	Broadcast Station
12/11/2024	セプテントリオン (S.O.S.)	14:00	17:00	Broadcast Station
12/11/2024	キャメルトリ (On The Ball)	17:00	20:00	Broadcast Station
12/11/2024	火星からバイカーネズミ (Biker Mice from Mars)	20:00	23:00	Broadcast Station
12/11/2024	お料理ポン！　１２月号　【１２月１１】 (Cooking Pon! December Ed. [12/11])	8:00	23:00	News Building
12/11/2024	ＭＬＢＰＡ野球 (MLBPA Baseball)	11:00	23:00	Stadium
12/11/2024	ソールブレーダー (Soul Blazer)	8:00	20:00	Bagpotamia Temple
12/11/2024	サテ坊のワードゲーム (Satebou's Word Game)	8:00	23:00	Calculator Shop
12/11/2024	ＢＳスーパークックド (BS SuperCooked!)	8:00	23:00	Burger Shop
12/12/2024	空気騎兵隊 (Air Cavalry)	8:00	14:00	Broadcast Station
12/12/2024	カービィのおもちゃ箱：星崩し (Kirby's Toybox: Constellation)	14:00	17:00	Broadcast Station
12/12/2024	シムシティ　【小売版】 (SimCity [Retail ver.])	17:00	20:00	Broadcast Station
12/12/2024	スーパーボンバーマン (Super Bomberman)	20:00	23:00	Broadcast Station
12/12/2024	フロイドの挑戦状　第４号 (Freud's Challenge #4)	8:00	23:00	News Building
12/12/2024	ＮＨＬホッケー’９４ (NHL '94)	11:00	23:00	Stadium
12/12/2024	ファーストサムライ (First Samurai)	8:00	20:00	Bagpotamia Temple
12/12/2024	サテ坊のワードゲーム (Satebou's Word Game)	8:00	23:00	Calculator Shop
12/12/2024	ＢＳスーパークックド (BS SuperCooked!)	8:00	23:00	Burger Shop
12/12/2024	ＢＳ　ドッティ・フラワーズ (BS Dottie Flowers)	8:00	23:00	Robot Tower
12/12/2024	ジョーとマック (Joe & Mac)	8:00	23:00	Telephone Booth
12/12/2024	クリスマス・１日 (Christmas: Day 1)	8:00	23:00	Event Plaza
12/13/2024	パロディウス (Parodius)	8:00	11:00	Broadcast Station
12/13/2024	バトルテック (MechWarrior)	11:00	14:00	Broadcast Station
12/13/2024	ＧＳ美神：除霊師はナイスボディー (Ghost Sweeper Mikami)	14:00	17:00	Broadcast Station
12/13/2024	エアーマネジメント　大空に賭ける (Aerobiz)	17:00	20:00	Broadcast Station
12/13/2024	クリスティーワールド (Krusty's Super Fun House)	20:00	23:00	Broadcast Station
12/13/2024	チープｄeゴージャス　４本 (Cheap de Gorgeous Vol. 4)	8:00	23:00	News Building
12/13/2024	ＮＢＡショーダウン (NBA Showdown)	11:00	23:00	Stadium
12/13/2024	カコマナイト (Cacoma Knight)	8:00	20:00	Bagpotamia Temple
12/13/2024	サテ坊のワードゲーム (Satebou's Word Game)	8:00	23:00	Calculator Shop
12/13/2024	ＢＳスーパークックド (BS SuperCooked!)	8:00	23:00	Burger Shop
12/13/2024	クリスマス・２日 (Christmas: Day 2)	8:00	23:00	Event Plaza
12/14/2024	クルード (Clue)	8:00	14:00	Broadcast Station
12/14/2024	ＢＳスーパーぷよぷよ (BS Super Puyo Puyo)	14:00	20:00	Broadcast Station
12/14/2024	レミングス (Lemmings)	20:00	23:00	Broadcast Station
12/14/2024	Ｂ　ＤＡＳＨ　２月号 (B DASH Feb. Edition)	8:00	23:00	News Building
12/14/2024	バトルサッカー：フィールドの覇者 (Battle Soccer: Heroes on the Field)	11:00	23:00	Stadium
12/14/2024	ゼルダの伝説：神々のトライフォース (The Legend of Zelda: A Link To The Past)	8:00	20:00	Bagpotamia Temple
12/14/2024	サテ坊のワードゲーム (Satebou's Word Game)	8:00	23:00	Calculator Shop
12/14/2024	ＢＳスーパークックド (BS SuperCooked!)	8:00	23:00	Burger Shop
12/14/2024	クリスマス・３日 (Christmas: Day 3)	8:00	23:00	Event Plaza
